filename,label,edit_type
54-edited.jpg,1,removal
55.jpg,0,authentic
55-edited.jpg,1,mixed
56.jpg,0,authentic
56-edited.jpg,1,compositing
57.jpg,0,authentic
57-edited.jpg,1,removal
58.jpg,0,authentic
58-edited.jpg,1,removal
59.jpg,0,authentic
59-edited.jpg,1,mixed
60.jpg,0,authentic
60-edited.jpg,1,removal
61.jpg,0,authentic
61-edited.jpg,1,removal
62.jpg,0,authentic
62-edited.jpg,1,removal
63.jpg,0,authentic
63-edited.jpg,1,removal
64.jpg,0,authentic
64-edited.jpg,1,mixed
65.jpg,0,authentic
65-edited.jpg,1,mixed
66.jpg,0,authentic
66-edited.jpg,1,removal
67.jpg,0,authentic
67-edited.jpg,1,removal
68.jpg,0,authentic
68-edited.jpg,1,mixed
69.jpg,0,authentic
69-edited.jpg,1,removal
70.jpg,0,authentic
70-edited.jpg,1,mixed
71.jpg,0,authentic
71-edited.jpg,1,removal
72.jpg,0,authentic
72-edited.jpg,1,removal
73.jpg,0,authentic
73-edited.jpg,1,compositing
74.jpg,0,authentic
74-edited.jpg,1,removal
75.jpg,0,authentic
75-edited.jpg,1,removal
76.jpg,0,authentic
76-edited.jpg,1,removal
77.jpg,0,authentic
77-edited.jpg,1,mixed
78.jpg,0,authentic
78-edited.jpg,1,mixed
79.jpg,0,authentic
79-edited.jpg,1,removal
80.jpg,0,authentic
80-edited.jpg,1,removal
81.jpg,0,authentic
81-edited.jpg,1,removal
82.jpg,0,authentic
82-edited.jpg,1,mixed
83.jpg,0,authentic
83-edited.jpg,1,removal
84.jpg,0,authentic
84-edited.jpg,1,mixed
85.jpg,0,authentic
85-edited.jpg,1,mixed
86.jpg,0,authentic
86-edited.jpg,1,removal
87.jpg,0,authentic
87-edited.jpg,1,mixed
88.jpg,0,authentic
88-edited.jpg,1,removal
89.jpg,0,authentic
89-edited.jpg,1,removal
90.jpg,0,authentic
90-edited.jpg,1,compositing
91.jpg,0,authentic
91-edited.jpg,1,removal
92.jpg,0,authentic
92-edited.jpg,1,mixed
93.jpg,0,authentic
93-edited.jpg,1,mixed
94.jpg,0,authentic
94-edited.jpg,1,mixed
95.jpg,0,authentic
95-edited.jpg,1,removal
96.jpg,0,authentic
96-edited.jpg,1,removal
97.jpg,0,authentic
97-edited.jpg,1,removal
98.jpg,0,authentic
98-edited.jpg,1,mixed
99.jpg,0,authentic
99-edited.jpg,1,removal
100.jpg,0,authentic
100-edited.jpg,1,removal
101.jpg,0,authentic
101-edited.jpg,1,mixed
102.jpg,0,authentic
102-edited.jpg,1,mixed
103.jpg,0,authentic
103-edited.jpg,1,mixed
104.jpg,0,authentic
104-edited.jpg,1,mixed
105.jpg,0,authentic
105-edited.jpg,1,mixed
106.jpg,0,authentic
106-edited.jpg,1,mixed
107.jpg,0,authentic
107-edited.jpg,1,mixed
108.jpg,0,authentic
108-edited.jpg,1,mixed
109.jpg,0,authentic
109-edited.jpg,1,compositing
110.jpg,0,authentic
110-edited.jpg,1,compositing
111.jpg,0,authentic
111-edited.jpg,1,mixed
112.jpg,0,authentic
112-edited.jpg,1,mixed
113.jpg,0,authentic
113-edited.jpg,1,removal
115.jpg,0,authentic
115-edited.jpg,1,mixed
116.jpg,0,authentic
116-edited.jpg,1,removal
117.jpg,0,authentic
117-edited.jpg,1,mixed
118.jpg,0,authentic
118-edited.jpg,1,removal
119.jpg,0,authentic
119-edited.jpg,1,compositing
120.jpg,0,authentic
120-edited.jpg,1,removal
121.jpg,0,authentic
121-edited.jpg,1,removal
122.jpg,0,authentic
122-edited.jpg,1,mixed
123.jpg,0,authentic
123-edited.jpg,1,removal
124.jpg,0,authentic
124-edited.jpg,1,removal
125.jpg,0,authentic
125-edited.jpg,1,mixed
126.jpg,0,authentic
126-edited.jpg,1,mixed
127.jpg,0,authentic
127-edited.jpg,1,removal
128.jpg,0,authentic
128-edited.jpg,1,mixed
129.jpg,0,authentic
129-edited.jpg,1,compositing
130.jpg,0,authentic
130-edited.jpg,1,mixed
131.jpg,0,authentic
131-edited.jpg,1,removal
132.jpg,0,authentic
132-edited.jpg,1,mixed
133.jpg,0,authentic
133-edited.jpg,1,removal
134.jpg,0,authentic
134-edited.jpg,1,removal
135.jpg,0,authentic
135-edited.jpg,1,mixed
136.jpg,0,authentic
136-edited.jpg,1,compositing
137.jpg,0,authentic
137-edited.jpg,1,compositing
138.jpg,0,authentic
138-edited.jpg,1,compositing
139.jpg,0,authentic
139-edited.jpg,1,mixed
140.jpg,0,authentic
140-edited.jpg,1,mixed
141.jpg,0,authentic
141-edited.jpg,1,compositing
142.jpg,0,authentic
142-edited.jpg,1,compositing
143.jpg,0,authentic
143-edited.jpg,1,mixed
144.jpg,0,authentic
144-edited.jpg,1,mixed
145.jpg,0,authentic
145-edited.jpg,1,mixed
146.jpg,0,authentic
146-edited.jpg,1,mixed
147.jpg,0,authentic
147-edited.jpg,1,removal
148.jpg,0,authentic
148-edited.jpg,1,mixed
149.jpg,0,authentic
149-edited.jpg,1,mixed
150.jpg,0,authentic
150-edited.jpg,1,compositing
151.jpg,0,authentic
151-edited.jpg,1,mixed
152.jpg,0,authentic
152-edited.jpg,1,compositing
153.jpg,0,authentic
153-edited.jpg,1,mixed
154.jpg,0,authentic
154-edited.jpg,1,compositing
155.jpg,0,authentic
155-edited.jpg,1,mixed
156.jpg,0,authentic
156-edited.jpg,1,removal
157.jpg,0,authentic
157-edited.jpg,1,mixed
158.jpg,0,authentic
158-edited.jpg,1,mixed
159.jpg,0,authentic
159-edited.jpg,1,mixed
160.jpg,0,authentic
160-edited.jpg,1,mixed
161.jpg,0,authentic
161-edited.jpg,1,mixed
162.jpg,0,authentic
162-edited.jpg,1,compositing
163.jpg,0,authentic
163-edited.jpg,1,compositing
164.jpg,0,authentic
164-edited.jpg,1,compositing
165.jpg,0,authentic
165-edited.jpg,1,mixed
166.jpg,0,authentic
166-edited.jpg,1,compositing
167.jpg,0,authentic
167-edited.jpg,1,mixed
168.jpg,0,authentic
168-edited.jpg,1,mixed
169.jpg,0,authentic
169-edited.jpg,1,compositing
170.jpg,0,authentic
170-edited.jpg,1,compositing
171.jpg,0,authentic
171-edited.jpg,1,mixed
172.jpg,0,authentic
172-edited.jpg,1,mixed
173.jpg,0,authentic
173-edited.jpg,1,mixed
174.jpg,0,authentic
174-edited.jpg,1,mixed
175.jpg,0,authentic
175-edited.jpg,1,mixed
176.jpg,0,authentic
176-edited.jpg,1,mixed
177.jpg,0,authentic
177-edited.jpg,1,compositing
178.jpg,0,authentic
178-edited.jpg,1,mixed
179.jpg,0,authentic
179-edited.jpg,1,mixed
180.jpg,0,authentic
180-edited.jpg,1,compositing
181.jpg,0,authentic
181-edited.jpg,1,compositing
182.jpg,0,authentic
182-edited.jpg,1,mixed
183.jpg,0,authentic
183-edited.jpg,1,mixed
184.jpg,0,authentic
184-edited.jpg,1,mixed
185.jpg,0,authentic
185-edited.jpg,1,compositing
186.jpg,0,authentic
186-edited.jpg,1,mixed
187.jpg,0,authentic
187-edited.jpg,1,compositing
188.jpg,1,authentic
188-edited.jpg,1,compositing
189.jpg,0,authentic
189-edited.jpg,1,mixed
190.jpg,0,authentic
190-edited.jpg,1,compositing
191.jpg,0,authentic
191-edited.jpg,1,removal
192.jpg,0,authentic
192-edited.jpg,1,removal
193.jpg,0,authentic
193-edited.jpg,1,compositing
194.jpg,0,authentic
194-edited.jpg,1,mixed
195.jpg,0,authentic
195-edited.jpg,1,compositing
196.jpg,0,authentic
196-edited.jpg,1,mixed
197.jpg,0,authentic
197-edited.jpg,1,mixed
198.jpg,0,authentic
198-edited.jpg,1,compositing
199.jpg,0,authentic
199-edited.jpg,1,mixed
200.jpg,0,authentic
200-edited.jpg,1,mixed
